timestamp,beta_theta_ratio,beta_alpha_theta_ratio
1749750497.180125,31.872126822677387,20.996977303741076
1749750497.1840312,67.80622895674951,34.47790355272233
1749750497.1879375,94.89411512543815,37.61169308794203
1749750497.1918437,89.87410043697489,30.814128087653003
1749750497.19575,56.944034030988774,19.25706467407393
1749750497.1996562,31.688276401070414,11.336848228683316
1749750497.2035625,38.432702200839664,14.93637528044662
1749750497.2074687,46.77590069791888,20.060816087738324
1749750497.211375,43.671618215962795,20.85502346188651
1749750497.2152812,35.329724457085845,18.733979158088342
1749750497.2191875,32.45370752962785,18.427750966207928
1749750497.2230937,35.48649025898036,19.75860459251064
1749750497.225125,38.20099807905118,19.08186194726529
1749750497.2290313,38.904469427441335,16.81190920929276
1749750497.2329376,38.49174119399945,14.445722245136057
1749750497.2368438,38.282545355904396,12.768329887670314
1749750497.24075,39.77756776460765,12.200244134206978
1749750497.2446563,42.75304898773317,12.644437636832373
1749750497.2485626,43.72072354335614,13.236118319269371
1749750497.2524688,40.45120118185968,13.184082098713185
1749750497.256375,35.08628477332116,12.415921304527759
1749750497.2602813,30.102970034182235,11.158477902423645
1749750497.2641876,26.037775085745388,9.662186315090327
1749750497.2680938,22.802421608469743,8.257762118630446
1749750497.273125,20.340288391747794,7.148742013995135
1749750497.2770312,18.546388214100567,6.356031533245505
1749750497.2809374,17.23693759495667,5.816678550813404
1749750497.2848437,16.29431695705867,5.477390736719492
1749750497.28875,15.673218464485151,5.3019373291121
1749750497.2926562,15.304918675743101,5.236001238252706
1749750497.2965624,15.16170920680921,5.224092242307222
1749750497.3004687,15.16230424313547,5.180350310315722
1749750497.304375,15.167441342042716,5.014291358225115
1749750497.3082812,15.122481937583771,4.728105765649797
1749750497.3121874,14.946773448907269,4.380417629457357
1749750497.3160937,14.546338181630864,4.032943006371482
1749750497.331125,13.927147463401017,3.733461039406044
1749750497.3350313,13.178492912151452,3.5047348066916872
1749750497.3389375,12.406147096679208,3.349126402281704
1749750497.3428438,11.636723852727803,3.2430287674678397
1749750497.34675,10.912663050767275,3.16888085600966
1749750497.3506563,10.302235516629773,3.1176337296326353
1749750497.3545625,9.800145541255906,3.0608220360640797
1749750497.3584688,9.402065244985485,2.9780970881797764
1749750497.362375,9.10834477148687,2.8667778757445723
1749750497.3662813,8.907712502402362,2.7377486831133386
1749750497.3701875,8.792632861994475,2.611423199930751
1749750497.3740938,8.73156810201898,2.499361283849431
1749750497.376125,8.705945923621504,2.4109240072343976
1749750497.3800313,8.703443807186758,2.35078785740747
1749750497.3839376,8.709348065832588,2.3181167183672446
1749750497.3878438,8.700630127002192,2.306049956618261
1749750497.39175,8.63110506992441,2.2979253623628795
1749750497.3956563,8.512298431308512,2.288691203708899
